srians	Fe	RBAave	RBAr630
BS0289	0	0.0854	0.6536
BS0290	0	0.0729	0.6536
BS0291	0	0.4582	0.6536
BS0292	0	0.4971	0.6536
BS0293	0	0.1182	0.6536
BS0294	0	0.0799	0.6536
BS0295	0	0.0874	0.6536
BS0296	0	0.069	0.6536
BS0297	0	0.0661	0.6536
BS0298	0	0.0573	0.6536
BS0299	0	0.3865	0.6536
BS0300	0	0.044	0.6536
BS0301	0	0.3869	0.6536
BS0302	0	0.0554	0.6536
BS0303	0	0.0574	0.6536
BS0304	0	0.0792	0.6536
BS0305	0	0.0563	0.6536
BS0306	0	0.058	0.6536
BS0307	0	0.0561	0.6536
BS0308	0	0.0465	0.6536
BS0309	0	0.0577	0.6536
BS0310	0	0.2172	0.6536
BS0311	0	0.0438	0.6536
BS0312	0	0.3711	0.6536
BS0313	0	0.4647	0.6536
BS0314	0	0.4393	0.6536
BS0315	0	0.0553	0.6536
BS0316	0	0.3562	0.6536
BS0317	0	0.0552	0.6536
BS0318	0	0.0553	0.6536
BS0319	0	0.3938	0.6536
BS0320	0	0.073	0.6536
BS0321	0	0.409	0.6536
BS0322	0	0.0568	0.6536
BS0323	0	0.0585	0.6536
BS0324	0	0.0596	0.6536
BS0325	0	0.2409	0.6536
BS0326	0	0.434	0.6536
BS0327	0	0.0923	0.6536
BS0328	0	0.4556	0.6536
BS0329	0	0.509	0.6536
BS0330	0	0.3969	0.6536
BS0331	0	0.4474	0.6536
BS0332	0	0.3349	0.6536
BS0333	0	0.1412	0.6536
BS0334	0	0.3537	0.6536
BS0335	0	0.0798	0.6536
BS0336	0	0.0616	0.6536
BS0337	0	0.0518	0.6536
BS0338	0	0.0672	0.6536
BS0339	0	0.4681	0.6536
BS0340	0	0.064	0.6536
BS0341	0	0.35	0.6536
BS0342	0	0.077	0.6536
BS0343	0	0.0876	0.6536
BS0344	0	0.0892	0.6536
BS0345	0	0.5061	0.6536
BS0346	0	0.505	0.6536
BS0347	0	0.1026	0.6536
BS0348	0	0.0815	0.6536
BS0349	0	0.055	0.6536
BS0350	0	0.2913	0.6536
BS0351	0	0.0559	0.6536
BS0352	0	0.4447	0.6536
BS0353	0	0.2395	0.6536
BS0354	0	0.0553	0.6536
BS0355	0	0.0553	0.6536
BS0356	0	0.4547	0.6536
BS0357	0	0.4533	0.6536
BS0358	0	0.4456	0.6536
BS0359	0	0.1981	0.6536
BS0360	0	0.4355	0.6536
BS0361	0	0.4289	0.6536
BS0362	0	0.4234	0.6536
BS0363	0	0.1449	0.6536
BS0364	0	0.0759	0.6536
BS0365	0	0.3997	0.6536
BS0366	0	0.076	0.6536
BS0367	0	0.4332	0.6536
BS0368	0	0.457	0.6536
BS0369	0	0.3989	0.6536
BS0370	0	0.4181	0.6536
BS0371	0	0.4423	0.6536
BS0372	0	0.4268	0.6536
BS0373	0	0.4442	0.6536
BS0374	0	0.3979	0.6536
BS0375	0	0.4515	0.6536
BS0376	0	0.3609	0.6536
BS0377	0	0.464	0.6536
BS0378	0	0.4608	0.6536
BS0379	0	0.4662	0.6536
